model,MAE,RMSE,MAPE %,MedAE,R²,train_time_s,infer_time_s
LightGBM,75744.79190027545,193183.4122113207,50.89127354116725,24645.28085768805,0.7820202187129541,23.4,4.13
RandomForest,83168.41231169774,220472.78201445952,55.803943616322286,24404.1547244456,0.7160861941590043,290.3,3.46
DecisionTree,95717.31580381915,243946.41023656537,62.984024637382504,28674.73873301421,0.6524114912064088,3.8,0.29
Lasso,111254.10893912225,285548.1305979162,67.25784417888157,36437.24631125148,0.5237497797119339,50.2,0.35
Ridge,111749.11977752381,286771.17874769506,66.90764859627744,36854.0730302126,0.5196613315029674,7.9,0.32
KNN,151136.694541302,349743.6069979956,427.8781099270184,53001.77941790958,0.28554296588946493,0.0,16.01
